"docty","docdt","display_title","projectid","txturl","pdfurl","repnb","prdln","projn","id","preprim","tarl","stped","docyear","totalchar","mainsec","anyBB","anyBB_nopreprim","boardapprovaldate","curr_total_commitment","sector1"
"Project Appraisal Document","2003-06-20T00:00:00Z","Niger - Basic Education Project","P061209","http://documents.worldbank.org/curated/en/435971468761111287/text/256880NIR0basic0Ed0Program.txt",NA,"25688","IBRD/IDA","NE-Basic Education Project -- P061209","2400644",0,0,0,2003,247305,1,0,0,NA,NA,NA
"Project Appraisal Document","1999-08-23T00:00:00Z","Cambodia - Education Quality Improvement Project","P059971","http://documents.worldbank.org/curated/en/889101468742494818/text/multi-page.txt",NA,"19065",NA,"KH-Education Quality Improvement -- P059971","440301",0,0,0,1999,147627,1,0,0,NA,NA,NA
"Project Appraisal Document","2002-06-12T00:00:00Z","Turkey - Second Basic Education Project","P059872","http://documents.worldbank.org/curated/en/844161468760515362/text/multi0page.txt","http://documents.worldbank.org/curated/en/844161468760515362/pdf/multi0page.pdf","21831",NA,"TR-Basic Education 2 Project (Apl #2) -- P059872","1814001",0,0,0,2002,241018,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-11-29T00:00:00Z","Brazil - Ceara Basic Education Quality Improvement Project","P059566","http://documents.worldbank.org/curated/en/905301468769471551/text/multi-page.txt",NA,"21428",NA,"BR-Ceara Basic Education -- P059566","729336",0,0,0,2000,280918,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-11-28T00:00:00Z","Brazil - Bahia Education Project","P059565","http://documents.worldbank.org/curated/en/325191468743809270/text/multi-page.txt",NA,"21424",NA,"BR-Ba Basic Edu Project (Phase I) -- P059565","729334",0,0,0,2000,246778,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-01-21T00:00:00Z","Mali - Improving Learning in Primary Schools Project","P058770","http://documents.worldbank.org/curated/en/807611468774562384/text/multi-page.txt",NA,"19601",NA,"ML-Improving Learning In Primary Schools
            (Lil) -- P058770","437967",0,0,0,2000,128455,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-01-21T00:00:00Z","Mali – Projet d’appui à l’amélioration des apprentissages dans les écoles fondamentales : République du Mali - Projet d’appui à l’amélioration des apprentissages dans les écoles fondamentales","P058770","http://documents.worldbank.org/curated/en/454231468049824915/text/196010FRENCH0BOX327423B.txt","http://documents.worldbank.org/curated/en/454231468049824915/pdf/196010FRENCH0BOX327423B.pdf","19601",NA,"ML-Improving Learning In Primary Schools
            (Lil) -- P058770","9885431",0,0,0,2000,139650,1,0,0,NA,NA,NA
"Project Appraisal Document","1999-02-12T00:00:00Z","Malaysia - Education Sector Support Project","P058681","http://documents.worldbank.org/curated/en/391071468756325472/text/multi-page.txt",NA,"18890",NA,"MY-Education Sector Support Project -- P058681","440671",0,0,0,1999,163715,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-04-19T00:00:00Z","Bosnia and Herzegovina - Education Development Project","P058512","http://documents.worldbank.org/curated/en/311701468743173075/text/multi-page.txt",NA,"20170",NA,"BA-Education Development Project-314131 -- P058512","437773",0,0,0,2000,293537,0,0,0,NA,NA,NA
"Project Appraisal Document","1999-02-17T00:00:00Z","Gambia - Poverty Alleviation and Capacity Building Project","P057997","http://documents.worldbank.org/curated/en/822471468771370353/text/multi-page.txt",NA,"18790",NA,"GM-Poverty All & Muni Dev (Fy99) -- P057997","438708",0,0,0,1999,162485,1,0,0,NA,NA,NA
