"docty","docdt","display_title","projectid","txturl","pdfurl","repnb","prdln","projn","id","preprim","tarl","stped","docyear","totalchar","mainsec","anyBB","anyBB_nopreprim","boardapprovaldate","curr_total_commitment","sector1"
"Project Appraisal Document","2017-06-15T00:00:00Z","Rwanda - Priority Skills for Growth Program-for-Results Project","P252350","http://documents.worldbank.org/curated/en/960171499479277244/text/Rwanda-PAD-06152017.txt","http://documents.worldbank.org/curated/en/960171499479277244/pdf/Rwanda-PAD-06152017.pdf","116204","IBRD/IDA","RW-Rwanda Priority Skills For Growth (Psg)
            -- P252350","27659648",6,0,0,2017,398160,1,1,0,NA,NA,NA
"Project Appraisal Document","2023-06-02T00:00:00Z","Indonesia - Second Phase of Investing in Nutrition and Early Years Program-For-Results Project","P180491","http://documents.worldbank.org/curated/en/099092923114530998/text/BOSIB0cf27c2f30790b32809ff0e750abd1.txt","http://documents.worldbank.org/curated/en/099092923114530998/pdf/BOSIB0cf27c2f30790b32809ff0e750abd1.pdf","PAD5388","IBRD/IDA","ID-Investing In Nutrition & Early Years
            Phase 2 Program -- P180491","34175424",0,0,0,2023,479142,0,0,0,NA,NA,NA
"Project Appraisal Document","2023-04-05T00:00:00Z","Paraguay - Joining Efforts for an Education of Excellence Project","P180015","http://documents.worldbank.org/curated/en/099040623154083853/text/BOSIB05ab2356609b0907c07f9e74bca5e1.txt","http://documents.worldbank.org/curated/en/099040623154083853/pdf/BOSIB05ab2356609b0907c07f9e74bca5e1.pdf","PAD5309","IBRD/IDA","PY-Joining Efforts For An Education Of
            Excellence In Paraguay Proj -- P180015","34037083",5,0,0,2023,271522,1,1,0,NA,NA,NA
"Project Appraisal Document","2023-10-11T00:00:00Z","Africa - Think Tank Platform Project","P179804","http://documents.worldbank.org/curated/en/099101623140041645/text/BOSIB0c74a63d907e081120e77d1999b450.txt","http://documents.worldbank.org/curated/en/099101623140041645/pdf/BOSIB0c74a63d907e081120e77d1999b450.pdf","PAD5316","IBRD/IDA","3E-Africa Think Tank Platform Project -- P179804","34181233",0,0,0,2023,149264,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-09-07T00:00:00Z","Eastern and Southern Africa - East Africa Girls’ Empowerment and Resilience Project","P179293","http://documents.worldbank.org/curated/en/099091123165532948/text/BOSIB056d7f6af0ef099ce04d045ba9cb61.txt","http://documents.worldbank.org/curated/en/099091123165532948/pdf/BOSIB056d7f6af0ef099ce04d045ba9cb61.pdf","PAD5392","IBRD/IDA","3E-East Africa Girls' Empowerment And
            Resilience -- P179293","34160387",0,0,0,2023,212867,0,0,0,NA,NA,NA
"Project Appraisal Document","2023-06-28T00:00:00Z","Brazil - Progestão Tocantins : Public Sector Management Efficiency Project","P179088","http://documents.worldbank.org/curated/en/099070523170022241/text/BOSIB08dece93008a0a6360e18078ba4be9.txt","http://documents.worldbank.org/curated/en/099070523170022241/pdf/BOSIB08dece93008a0a6360e18078ba4be9.pdf","PAD5191","IBRD/IDA","BR-Progestão Tocantins: Public Sector
            Management Efficiency -- P179088","34112838",0,0,0,2023,248007,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-06-28T00:00:00Z","Brazil - Progestão Acre : Public Sector Management Efficiency Project","P179046","http://documents.worldbank.org/curated/en/099070523101517375/text/BOSIB092adc40c00a0a30b02647df2cd73b.txt","http://documents.worldbank.org/curated/en/099070523101517375/pdf/BOSIB092adc40c00a0a30b02647df2cd73b.pdf","PAD5186","IBRD/IDA","BR-Progestão Acre: Public Sector Management
            Efficiency -- P179046","34112830",0,0,0,2023,268864,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-10-04T00:00:00Z","Brazil - Mato Grosso Resilient, Inclusive, and Sustainable Learning Project","P178993","http://documents.worldbank.org/curated/en/099100623121072327/text/BOSIB0a88a28ad0fe0938804a45368f3f3e.txt","http://documents.worldbank.org/curated/en/099100623121072327/pdf/BOSIB0a88a28ad0fe0938804a45368f3f3e.pdf","PAD5110","IBRD/IDA","BR-Mato Grosso Resilient, Inclusive, And
            Sustainable Learning Proj -- P178993","34176792",0,0,0,2023,188091,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-06-07T00:00:00Z","Senegal - Higher Education Project : Espoir‐Jeunes","P178750","http://documents.worldbank.org/curated/en/099060923150012750/text/BOSIB0df650f3a04e0b78e0853e8e804c71.txt","http://documents.worldbank.org/curated/en/099060923150012750/pdf/BOSIB0df650f3a04e0b78e0853e8e804c71.pdf","PAD5271","IBRD/IDA","SN-Senegal Higher Education Project -
            Espoir-Jeunes -- P178750","34078154",0,0,0,2023,245679,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-08-14T00:00:00Z","Central African Republic - Local Governance and Community Resilience Project","P178699","http://documents.worldbank.org/curated/en/099081723141018935/text/BOSIB02d19a3d70380b56007619a22aae59.txt","http://documents.worldbank.org/curated/en/099081723141018935/pdf/BOSIB02d19a3d70380b56007619a22aae59.pdf","PAD5175","IBRD/IDA","CF-Local Governance And Community Resilience
            Project -- P178699","34145442",0,0,0,2023,200479,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-03-07T00:00:00Z","Congo, Democratic Republic of - Girls Learning and Empowerment Project","P178684","http://documents.worldbank.org/curated/en/099000503102331114/text/BOSIB044aa66a10d208a3b091540fad5b7d.txt","http://documents.worldbank.org/curated/en/099000503102331114/pdf/BOSIB044aa66a10d208a3b091540fad5b7d.pdf","PAD5151","IBRD/IDA","ZR-Drc Girls Learning And Empowerment
            Project -- P178684","34018987",3,0,0,2023,223003,1,1,0,NA,NA,NA
"Project Appraisal Document","2023-04-21T00:00:00Z","South Sudan - Building Skills for Human Capital Development in South Sudan Project","P178654","http://documents.worldbank.org/curated/en/099042623145525881/text/BOSIB16bf0132a0651b03113d0de461f77e.txt","http://documents.worldbank.org/curated/en/099042623145525881/pdf/BOSIB16bf0132a0651b03113d0de461f77e.pdf","PAD5283","IBRD/IDA","SS-Building Skills For Human Capital
            Development In South Sudan -- P178654","34050760",0,0,8,2023,221150,0,1,1,NA,NA,NA
"Project Appraisal Document","2023-06-12T00:00:00Z","Jamaica - Education Project","P178595","http://documents.worldbank.org/curated/en/099061423113025131/text/BOSIB05b1178e00e80ab1b0c006319d923e.txt","http://documents.worldbank.org/curated/en/099061423113025131/pdf/BOSIB05b1178e00e80ab1b0c006319d923e.pdf","PAD5213","IBRD/IDA","JM-Jamaica Education Project -- P178595","34091645",0,2,0,2023,196789,1,1,1,NA,NA,NA
"Project Appraisal Document","2024-01-09T00:00:00Z","Kyrgyz Republic - Higher Education Quality and Innovation Project","P178592","http://documents.worldbank.org/curated/en/099011124105035653/text/BOSIB11291b2510351bdbe1072399f96243.txt","http://documents.worldbank.org/curated/en/099011124105035653/pdf/BOSIB11291b2510351bdbe1072399f96243.pdf","PAD5078","IBRD/IDA","KG-Higher Education Quality And Innovation
            Project -- P178592","34237164",0,0,0,2024,161294,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-08-31T00:00:00Z","Bangladesh - Learning Acceleration in Secondary Education Operation","P178487","http://documents.worldbank.org/curated/en/099090523122017246/text/BOSIB088cf52390990af10029ec20109467.txt","http://documents.worldbank.org/curated/en/099090523122017246/pdf/BOSIB088cf52390990af10029ec20109467.pdf","PAD5295","IBRD/IDA","BD-Learning Acceleration In Secondary
            Education Operation -- P178487","34156673",0,1,0,2023,182852,1,1,1,NA,NA,NA
"Project Appraisal Document","2023-06-02T00:00:00Z","India - Tripura Rural Economic Growth and Service Delivery Project","P178418","http://documents.worldbank.org/curated/en/099060623111516839/text/BOSIB0a5084ccf05f08848036e9e5d1a5a7.txt","http://documents.worldbank.org/curated/en/099060623111516839/pdf/BOSIB0a5084ccf05f08848036e9e5d1a5a7.pdf","PAD5173","IBRD/IDA","IN-Tripura Rural Economic Growth And Service
            Delivery Project -- P178418","34075907",0,10,0,2023,199872,1,1,1,NA,NA,NA
"Project Appraisal Document","2022-11-30T00:00:00Z","Tanzania - Zanzibar Improving Quality of Basic Education Project","P178157","http://documents.worldbank.org/curated/en/099145012052214156/text/BOSIB04b74cfa50200a65203306758e5773.txt","http://documents.worldbank.org/curated/en/099145012052214156/pdf/BOSIB04b74cfa50200a65203306758e5773.pdf","PAD5167","IBRD/IDA","TZ-Zanzibar Improving Quality Of Basic
            Education Project -- P178157","33950665",19,1,0,2022,215915,1,1,1,NA,NA,NA
"Project Appraisal Document","2022-12-20T00:00:00Z","Azerbaijan - State and Peacebuilding Fund (SPF) : Improved Livelihoods for Internally Displaced Persons in Azerbaijan Project","P178125","http://documents.worldbank.org/curated/en/099730012222232813/text/P1781250bdd2b50b0b9720d5c17632331c.txt","http://documents.worldbank.org/curated/en/099730012222232813/pdf/P1781250bdd2b50b0b9720d5c17632331c.pdf","PP5087","Recipient Executed Activities","AZ-Spf: Improved Livelihoods For Internally
            Displaced Persons In A -- P178125","33970233",0,0,0,2022,67920,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-06-06T00:00:00Z","Bangladesh - Economic Acceleration and Resilience for NEET (EARN) Project","P178077","http://documents.worldbank.org/curated/en/099060923141527657/text/BOSIB0c879d1120b60b7800c946e919de76.txt","http://documents.worldbank.org/curated/en/099060923141527657/pdf/BOSIB0c879d1120b60b7800c946e919de76.pdf","PAD4971","IBRD/IDA","BD-Economic Acceleration And Resilience For
            Neet (Earn) -- P178077","34078080",0,0,0,2023,157875,1,0,0,NA,NA,NA
"Project Appraisal Document","2021-12-06T00:00:00Z","Jordan - Support to Private Sector Employment and Skills Project","P177959","http://documents.worldbank.org/curated/en/428271640181364007/text/Jordan-Support-to-Private-Sector-Employment-and-Skills-Project.txt","http://documents.worldbank.org/curated/en/428271640181364007/pdf/Jordan-Support-to-Private-Sector-Employment-and-Skills-Project.pdf","PAD4787","IBRD/IDA","JO-Jordan Support To Private Sector
            Employment And Skills -- P177959","33670233",0,0,0,2021,170163,1,0,0,NA,NA,NA
"Project Appraisal Document","2021-12-05T00:00:00Z","Jordan - Support to Private Sector Employment and Skills Project : الأردن - مشروع دعم التوظيف والمهارات في القطاع الخاص","P177959","http://documents.worldbank.org/curated/en/099522509162215885/text/IDU0bc5924fc03020a74808f5831d8ec36.txt","http://documents.worldbank.org/curated/en/099522509162215885/pdf/IDU0bc5924fc03020a74808f5831d8ec36.pdf","PAD4787","IBRD/IDA","JO-Jordan Support To Private Sector
            Employment And Skills -- P177959","33899271",0,0,0,2021,297573,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-05-31T00:00:00Z","India - Multidisciplinary Education and Research Improvement in Technical Education Project","P177917","http://documents.worldbank.org/curated/en/099060523165510425/text/BOSIB05b672a59029099e307023e98cb6b4.txt","http://documents.worldbank.org/curated/en/099060523165510425/pdf/BOSIB05b672a59029099e307023e98cb6b4.pdf","PAD4894","IBRD/IDA","IN-Multidisciplinary Education And Research
            Improvement In Technic -- P177917","34075425",0,0,0,2023,167540,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-09-11T00:00:00Z","Ethiopia - Education and Skills for Employability Project","P177881","http://documents.worldbank.org/curated/en/099091223170536764/text/BOSIB07e6589de0c408c290ff61d3c2e295.txt","http://documents.worldbank.org/curated/en/099091223170536764/pdf/BOSIB07e6589de0c408c290ff61d3c2e295.pdf","PAD5094","IBRD/IDA","ET-Ethiopia Education And Skill For
            Employability Project -- P177881","34160850",0,0,0,2023,160222,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-04-17T00:00:00Z","Burkina Faso - Local Governance for Basic Services and Resilience Program","P177875","http://documents.worldbank.org/curated/en/099041923163094015/text/BOSIB17a437c9404219cd91bd0e3223035c.txt","http://documents.worldbank.org/curated/en/099041923163094015/pdf/BOSIB17a437c9404219cd91bd0e3223035c.pdf","PAD5220","IBRD/IDA","BF-Burkina Faso Local Governance For Basic
            Services & Resilience P -- P177875","34045618",1,0,0,2023,278079,0,1,0,NA,NA,NA
"Project Appraisal Document","2022-05-19T00:00:00Z","Guyana - Strengthening Human Capital Project","P177741","http://documents.worldbank.org/curated/en/553231666887666000/text/Guyana-Strengthening-Human-Capital-Project.txt","http://documents.worldbank.org/curated/en/553231666887666000/pdf/Guyana-Strengthening-Human-Capital-Project.pdf","PAD4854","IBRD/IDA","GY-Guyana Strengthening Human Capital
            Through Education Project -- P177741","33826353",2,1,0,2022,221853,1,1,1,NA,NA,NA
"Project Appraisal Document","2023-03-02T00:00:00Z","Nepal - School Sector Transformation Program Operation","P177647","http://documents.worldbank.org/curated/en/099210003072342744/text/BOSIB0e830f03f0ff0b1bc0a8ad90fc7974.txt","http://documents.worldbank.org/curated/en/099210003072342744/pdf/BOSIB0e830f03f0ff0b1bc0a8ad90fc7974.pdf","PAD5144","IBRD/IDA","NP-School Sector Transformation Program
            Operation -- P177647","34029018",4,2,1,2023,174946,1,1,1,NA,NA,NA
"Project Appraisal Document","2023-01-31T00:00:00Z","Tajikistan - Learning Environment : Foundation of Quality Education Project","P177475","http://documents.worldbank.org/curated/en/099204502032333592/text/BOSIB09f64340b0ce098f6069aca80eb63b.txt","http://documents.worldbank.org/curated/en/099204502032333592/pdf/BOSIB09f64340b0ce098f6069aca80eb63b.pdf","PAD4872","IBRD/IDA","TJ-Learning Environment – Foundation Of
            Quality Education -- P177475","33995974",0,0,0,2023,178190,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-03-10T00:00:00Z","Congo, Republic of - Accelerating Governance Institutional Reforms for Sustainable Services (AGIR) Program-for-Results","P177468","http://documents.worldbank.org/curated/en/099215003142331202/text/BOSIB115d44c6f0ec1822f1bcc94d9d5912.txt","http://documents.worldbank.org/curated/en/099215003142331202/pdf/BOSIB115d44c6f0ec1822f1bcc94d9d5912.pdf","PAD5140","IBRD/IDA","CG-Accelerating Governance Institutional
            Reforms For Sustainable S -- P177468","34021793",0,0,0,2023,355230,0,0,0,NA,NA,NA
"Project Appraisal Document","2022-05-13T00:00:00Z","Marshall Islands - Second RMI Multisectoral Early Childhood Development Project","P177329","http://documents.worldbank.org/curated/en/465591654609686855/text/Marshall-Islands-Second-RMI-Multisectoral-Early-Childhood-Development-Project.txt","http://documents.worldbank.org/curated/en/465591654609686855/pdf/Marshall-Islands-Second-RMI-Multisectoral-Early-Childhood-Development-Project.pdf","PAD4826","IBRD/IDA","MH-Rmi Multisectoral Early Childhood
            Development Project - II -- P177329","33821038",2,0,0,2022,280285,1,1,0,NA,NA,NA
"Project Appraisal Document","2022-03-04T00:00:00Z","West Bank and Gaza - Supporting an Education Reform Agenda for Improved Teaching, Assessment and Career Pathways Project","P177299","http://documents.worldbank.org/curated/en/964931648601745329/text/West-Bank-and-Gaza-Supporting-an-Education-Reform-Agenda-for-Improved-Teaching-Assessment-and-Career-Pathways-Project.txt","http://documents.worldbank.org/curated/en/964931648601745329/pdf/West-Bank-and-Gaza-Supporting-an-Education-Reform-Agenda-for-Improved-Teaching-Assessment-and-Career-Pathways-Project.pdf","PAD4778","Special Financing","GZ-Supporting An Education Reform Agenda For
            Improving Teaching, A -- P177299","33758912",8,0,0,2022,271180,1,1,0,NA,NA,NA
"Project Appraisal Document","2022-05-17T00:00:00Z","Pakistan - Khyber Pakhtunkhwa Rural Accessibility Project (KPRAP)","P177069",NA,NA,"PAD4850","IBRD/IDA","PK-Khyber Pakhtunkhwa Rural Accessibility
            Project (Kprap) -- P177069","33836693",0,0,0,2022,4,0,0,0,NA,NA,NA
"Project Appraisal Document","2022-05-17T00:00:00Z","Pakistan - Khyber Pakhtunkhwa Rural Accessibility Project (KPRAP)","P177069","http://documents.worldbank.org/curated/en/895161654610033556/text/Pakistan-Khyber-Pakhtunkhwa-Rural-Accessibility-Project-KPRAP.txt","http://documents.worldbank.org/curated/en/895161654610033556/pdf/Pakistan-Khyber-Pakhtunkhwa-Rural-Accessibility-Project-KPRAP.pdf","PAD4850","IBRD/IDA","PK-Khyber Pakhtunkhwa Rural Accessibility
            Project (Kprap) -- P177069","33824102",0,0,0,2022,143086,0,0,0,NA,NA,NA
"Project Appraisal Document","2022-04-11T00:00:00Z","Micronesia - FSM Skills and Employability Enhancement Project","P176965","http://documents.worldbank.org/curated/en/159891651843033906/text/Micronesia-FSM-Skills-and-Employability-Enhancement-Project.txt","http://documents.worldbank.org/curated/en/159891651843033906/pdf/Micronesia-FSM-Skills-and-Employability-Enhancement-Project.pdf","PAD4718","IBRD/IDA","FM-Fsm Skills And Employability Enhancement
            Project -- P176965","33811957",0,0,0,2022,283382,1,0,0,NA,NA,NA
"Project Appraisal Document","2022-06-03T00:00:00Z","Somalia - Empowering Women Through Education and Skills Rajo Kaaba Project","P176898","http://documents.worldbank.org/curated/en/916841656370453619/text/Somalia-Empowering-Women-Through-Education-and-Skills-Rajo-Kaaba-Project.txt","http://documents.worldbank.org/curated/en/916841656370453619/pdf/Somalia-Empowering-Women-Through-Education-and-Skills-Rajo-Kaaba-Project.pdf","PAD4863","IBRD/IDA","SO-Somalia Empowering Women Through
            Education And Skills Project - -- P176898","33838140",0,0,0,2022,202122,1,0,0,NA,NA,NA
"Project Appraisal Document","2022-03-10T00:00:00Z","Kenya - Primary Education Equity in Learning Program","P176867","http://documents.worldbank.org/curated/en/861391649085182961/text/Kenya-Primary-Education-Equity-in-Learning-Program.txt","http://documents.worldbank.org/curated/en/861391649085182961/pdf/Kenya-Primary-Education-Equity-in-Learning-Program.pdf","PAD4913","IBRD/IDA","KE-Primary Education Equity In Learning
            Program -- P176867","33759022",10,0,0,2022,275971,1,1,0,NA,NA,NA
"Project Appraisal Document","2022-06-10T00:00:00Z","Mozambique - Digital Acceleration Project","P176459","http://documents.worldbank.org/curated/en/656831656370652507/text/Mozambique-Digital-Acceleration-Project.txt","http://documents.worldbank.org/curated/en/656831656370652507/pdf/Mozambique-Digital-Acceleration-Project.pdf","PAD4954","IBRD/IDA","MZ-Mozambique Digital Acceleration Project
            -- P176459","33844146",0,0,0,2022,223255,0,0,0,NA,NA,NA
"Project Appraisal Document","2022-11-15T00:00:00Z","Guinea‐Bissau - Second Public Sector Strengthening Project","P176383","http://documents.worldbank.org/curated/en/099320011172233739/text/BOSIB0a85b6abf0360b0840425cf1fcafcb.txt","http://documents.worldbank.org/curated/en/099320011172233739/pdf/BOSIB0a85b6abf0360b0840425cf1fcafcb.pdf","177898","IBRD/IDA","GW-Guinea-Bissau Public Sector Strengthening
            Project II -- P176383","33940082",0,0,0,2022,304192,1,0,0,NA,NA,NA
"Project Appraisal Document","2022-01-27T00:00:00Z","Peru - Strengthening Peru's National Science, Technology and Innovation System Project","P176297","http://documents.worldbank.org/curated/en/538891645205800037/text/Peru-Strengthening-Perus-National-Science-Technology-and-Innovation-System-Project.txt","http://documents.worldbank.org/curated/en/538891645205800037/pdf/Peru-Strengthening-Perus-National-Science-Technology-and-Innovation-System-Project.pdf","PAD4577","IBRD/IDA","PE-Strengthening Peru'S National
            Science, Technology And Innovatio -- P176297","33718662",0,0,0,2022,235655,1,0,0,NA,NA,NA
"Project Appraisal Document","2021-12-17T00:00:00Z","Uruguay - Strengthening Pedagogy and Governance in Uruguayan Public Schools Project : Uruguay - Proyecto de Fortalecimiento de la Pedagogía y la Gobernanza en las Escuelas Públicas","P176105","http://documents.worldbank.org/curated/en/099513002092331078/text/IDU08c077be10bd7304a370b70c0b21a075b3d21.txt","http://documents.worldbank.org/curated/en/099513002092331078/pdf/IDU08c077be10bd7304a370b70c0b21a075b3d21.pdf","PAD4619","IBRD/IDA","UY-Strengthening Pedagogy And Governance In
            Uruguayan Public Schoo -- P176105","33998846",0,0,0,2021,305302,1,0,0,NA,NA,NA
"Project Appraisal Document","2021-12-17T00:00:00Z","Uruguay - Strengthening Pedagogy and Governance in Uruguayan Public Schools Project","P176105","http://documents.worldbank.org/curated/en/228361643156045621/text/Uruguay-Strengthening-Pedagogy-and-Governance-in-Uruguayan-Public-Schools-Project.txt","http://documents.worldbank.org/curated/en/228361643156045621/pdf/Uruguay-Strengthening-Pedagogy-and-Governance-in-Uruguayan-Public-Schools-Project.pdf","PAD4619","IBRD/IDA","UY-Strengthening Pedagogy And Governance In
            Uruguayan Public Schoo -- P176105","33691972",18,0,0,2021,258171,1,1,0,NA,NA,NA
"Project Appraisal Document","2022-03-03T00:00:00Z","Colombia - Program for improving learning outcomes and socioemotional education (PROMISE) Program-for-Results Project","P176006","http://documents.worldbank.org/curated/en/231261648601999317/text/Colombia-Program-for-improving-learning-outcomes-and-socioemotional-education-PROMISE-Program-for-Results-Project.txt","http://documents.worldbank.org/curated/en/231261648601999317/pdf/Colombia-Program-for-improving-learning-outcomes-and-socioemotional-education-PROMISE-Program-for-Results-Project.pdf","PAD4613","IBRD/IDA","CO-Program For Improving Learning Outcomes
            And Socioemotional Educ -- P176006","33753024",2,2,0,2022,240943,1,1,1,NA,NA,NA
"Project Appraisal Document","2022-03-21T00:00:00Z","Cabo Verde - Human Capital Project","P175828","http://documents.worldbank.org/curated/en/944451648477668043/text/Cabo-Verde-Human-Capital-Project.txt","http://documents.worldbank.org/curated/en/944451648477668043/pdf/Cabo-Verde-Human-Capital-Project.pdf","PAD4698","IBRD/IDA","CV-Cabo Verde Human Capital Project -- P175828","33773249",0,0,0,2022,163887,0,0,0,NA,NA,NA
"Project Appraisal Document","2022-03-25T00:00:00Z","Chad - Improving Learning Outcomes Project","P175803","http://documents.worldbank.org/curated/en/486611650320066020/text/Chad-Improving-Learning-Outcomes-Project.txt","http://documents.worldbank.org/curated/en/486611650320066020/pdf/Chad-Improving-Learning-Outcomes-Project.pdf","PAD4701","IBRD/IDA","TD-Chad Improving Learning Outcomes Project
            -- P175803","33789599",5,0,1,2022,269884,1,1,1,NA,NA,NA
"Project Appraisal Document","2021-11-19T00:00:00Z","Benin - Vocational Education and Entrepreneurship for Jobs Project","P175768","http://documents.worldbank.org/curated/en/828101641923162341/text/Benin-Vocational-Education-and-Entrepreneurship-for-Jobs-Project.txt","http://documents.worldbank.org/curated/en/828101641923162341/pdf/Benin-Vocational-Education-and-Entrepreneurship-for-Jobs-Project.pdf","PAD4621","IBRD/IDA","BJ-Benin Vocational Education And
            Entrepreneurship For Jobs Projec -- P175768","33653494",1,0,0,2021,315671,1,1,0,NA,NA,NA
"Project Appraisal Document","2021-04-01T00:00:00Z","Pakistan - Khyber Pakhtunkhwa (KP) Spending Effectively for Enhanced Development (SPEED) Project","P175727","http://documents.worldbank.org/curated/en/221361619402430082/text/Pakistan-Khyber-Pakhtunkhwa-KP-Spending-Effectively-for-Enhanced-Development-SPEED-Project.txt","http://documents.worldbank.org/curated/en/221361619402430082/pdf/Pakistan-Khyber-Pakhtunkhwa-KP-Spending-Effectively-for-Enhanced-Development-SPEED-Project.pdf","PAD4305","IBRD/IDA","PK-Kp- Spending Effectively  For Enhanced
            Development -- P175727","32975044",0,0,0,2021,128408,1,0,0,NA,NA,NA
"Project Appraisal Document","2022-03-01T00:00:00Z","Djibouti - Skills Development for Employment Project","P175483","http://documents.worldbank.org/curated/en/927731664308482374/text/Djibouti-Skills-Development-for-Employment-Project.txt","http://documents.worldbank.org/curated/en/927731664308482374/pdf/Djibouti-Skills-Development-for-Employment-Project.pdf","PAD4562","IBRD/IDA","DJ-Djibouti Skills Development For
            Employment Project -- P175483","33751867",1,0,0,2022,228529,1,1,0,NA,NA,NA
"Project Appraisal Document","2022-02-28T00:00:00Z","Djibouti - Projet de développement des Compétences pour l'emploi","P175483","http://documents.worldbank.org/curated/en/099458209282235601/text/IDU00a100d150f050bb4f0350a50f67877.txt","http://documents.worldbank.org/curated/en/099458209282235601/pdf/IDU00a100d150f050bb4f0350a50f67877.pdf","PAD4562","IBRD/IDA","DJ-Djibouti Skills Development For
            Employment Project -- P175483","33907635",0,0,0,2022,276288,1,0,0,NA,NA,NA
"Project Appraisal Document","2022-02-28T00:00:00Z","Djibouti - Skills Development for Employment Project : جيبوتي - مشروع تنمية المهارات من أجل التوظيف","P175483","http://documents.worldbank.org/curated/en/099454109282218145/text/IDU0c8af7f3609050bbfa058b7f1319d72.txt","http://documents.worldbank.org/curated/en/099454109282218145/pdf/IDU0c8af7f3609050bbfa058b7f1319d72.pdf","PAD4562","IBRD/IDA","DJ-Djibouti Skills Development For
            Employment Project -- P175483","33907704",0,0,0,2022,430387,1,0,0,NA,NA,NA
"Project Appraisal Document","2022-02-24T00:00:00Z","Georgia - Human Capital Program","P175455","http://documents.worldbank.org/curated/en/799821648048296120/text/Georgia-Human-Capital-Program.txt","http://documents.worldbank.org/curated/en/799821648048296120/pdf/Georgia-Human-Capital-Program.pdf","PAD4662","IBRD/IDA","GE-Georgia Human Capital Program -- P175455","33751943",0,0,0,2022,343965,1,0,0,NA,NA,NA
"Project Appraisal Document","2021-04-08T00:00:00Z","Romania - Safer, Inclusive and Sustainable Schools Project","P175308","http://documents.worldbank.org/curated/en/101791620007282466/text/Romania-Safer-Inclusive-and-Sustainable-Schools-Project.txt","http://documents.worldbank.org/curated/en/101791620007282466/pdf/Romania-Safer-Inclusive-and-Sustainable-Schools-Project.pdf","PAD4205","IBRD/IDA","RO-Romania Safer, Inclusive And Sustainable
            Schools -- P175308","32990095",0,0,0,2021,329649,1,0,0,NA,NA,NA
"Project Appraisal Document","2022-02-16T00:00:00Z","Lesotho - Basic Education Strengthening Project","P175065","http://documents.worldbank.org/curated/en/099820006132241843/text/P17506506a4bc50f0bc1c059169ca5a06a.txt","http://documents.worldbank.org/curated/en/099820006132241843/pdf/P17506506a4bc50f0bc1c059169ca5a06a.pdf","PAD4228","Recipient Executed Activities","LS-Lesotho Basic Education Strengthening
            Project (Besp) -- P175065","33841523",3,0,0,2022,201548,1,1,0,NA,NA,NA
"Project Appraisal Document","2020-12-04T00:00:00Z","Yemen - Restoring Education and Learning Emergency Project","P175036","http://documents.worldbank.org/curated/en/297131608519709207/text/Yemen-Restoring-Education-and-Learning-Emergency-Project.txt","http://documents.worldbank.org/curated/en/297131608519709207/pdf/Yemen-Restoring-Education-and-Learning-Emergency-Project.pdf","PAD4213","IBRD/IDA","RY-Yemen Restoring Education And Learning
            Emergency Project -- P175036","32659776",0,0,0,2020,307018,1,0,0,NA,NA,NA
"Project Appraisal Document","2020-09-04T00:00:00Z","Yemen - Restoring Education and Learning Emergency Project","P175036","http://documents.worldbank.org/curated/en/531311611727196531/text/Yemen-Restoring-Education-and-Learning-Emergency-Project.txt","http://documents.worldbank.org/curated/en/531311611727196531/pdf/Yemen-Restoring-Education-and-Learning-Emergency-Project.pdf","PAD4213","IBRD/IDA","RY-Yemen Restoring Education And Learning
            Emergency Project -- P175036","32780070",0,0,0,2020,691029,1,0,0,NA,NA,NA
"Project Appraisal Document","2021-06-25T00:00:00Z","Haiti - Promoting an Efficient Education System in Haiti Project","P174707","http://documents.worldbank.org/curated/en/273291631544796429/text/Haiti-Promoting-an-Efficient-Education-System-in-Haiti-Project.txt","http://documents.worldbank.org/curated/en/273291631544796429/pdf/Haiti-Promoting-an-Efficient-Education-System-in-Haiti-Project.pdf","PAD4230","Recipient Executed Activities","HT-Promoting An Efficient Education System
            In Haiti -- P174707","33215662",1,0,0,2021,204684,1,1,0,NA,NA,NA
"Project Appraisal Document","2020-12-02T00:00:00Z","Nicaragua - COVID-19 Education Sector Response Project","P174677","http://documents.worldbank.org/curated/en/593891612224683734/text/Nicaragua-COVID-19-Education-Sector-Response-Project.txt","http://documents.worldbank.org/curated/en/593891612224683734/pdf/Nicaragua-COVID-19-Education-Sector-Response-Project.pdf","PAD4106","Recipient Executed Activities","NI-Nicaragua Covid-19 Education Sector
            Response Project -- P174677","32634743",1,0,0,2020,135350,1,1,0,NA,NA,NA
